transcript_id	gene_id	transcript_name	gene_name	gene_biotype
FBtr0078956	FBgn0027866	CG9776-RB	CG9776	protein_coding
FBtr0078953	FBgn0037236	Skp2-RA	Skp2	protein_coding
FBtr0344740	FBgn0037236	Skp2-RE	Skp2	protein_coding
FBtr0078908	FBgn0040687	CG14645-RA	CG14645	protein_coding
FBtr0078909	FBgn0037235	CG1103-RA	CG1103	protein_coding
FBtr0111220	FBgn0037235	CG1103-RB	CG1103	protein_coding
FBtr0078951	FBgn0261434	hkb-RA	hkb	protein_coding
FBtr0332449	FBgn0037238	CG1090-RE	CG1090	protein_coding
FBtr0335201	FBgn0037238	CG1090-RG	CG1090	protein_coding
FBtr0335202	FBgn0037238	CG1090-RH	CG1090	protein_coding
FBtr0335203	FBgn0037238	CG1090-RI	CG1090	protein_coding
FBtr0343890	FBgn0266227	FBtr0343890	CR44922	ncRNA
FBtr0078914	FBgn0037239	Sfxn1-3-RA	Sfxn1-3	protein_coding
FBtr0078913	FBgn0037239	Sfxn1-3-RC	Sfxn1-3	protein_coding
FBtr0078915	FBgn0037239	Sfxn1-3-RD	Sfxn1-3	protein_coding
FBtr0078916	FBgn0037239	Sfxn1-3-RB	Sfxn1-3	protein_coding
FBtr0078917	FBgn0037240	Cont-RA	Cont	protein_coding
FBtr0302338	FBgn0003882	tub-RC	tub	protein_coding
FBtr0302339	FBgn0037241	CG14646-RB	CG14646	protein_coding
FBtr0078919	FBgn0037241	CG14646-RA	CG14646	protein_coding
FBtr0308809	FBgn0086608	CG34112-RD	CG34112	protein_coding
FBtr0308808	FBgn0086608	CG34112-RC	CG34112	protein_coding
FBtr0308807	FBgn0086608	CG34112-RB	CG34112	protein_coding
FBtr0110805	FBgn0086608	CG34112-RA	CG34112	protein_coding
FBtr0347384	FBgn0267814	FBtr0347384	CR46139	ncRNA
FBtr0347124	FBgn0267661	FBtr0347124	CR45999	ncRNA
FBtr0347125	FBgn0267661	FBtr0347125	CR45999	ncRNA
FBtr0339552	FBgn0037242	CG9855-RC	CG9855	protein_coding
FBtr0078950	FBgn0037242	CG9855-RA	CG9855	protein_coding
FBtr0344215	FBgn0086605	CG9853-RC	CG9853	protein_coding
FBtr0078949	FBgn0086605	CG9853-RA	CG9853	protein_coding
FBtr0113192	FBgn0086605	CG9853-RB	CG9853	protein_coding
FBtr0290222	FBgn0037244	CG14647-RB	CG14647	protein_coding
FBtr0345153	FBgn0266697	FBtr0345153	CR45187	ncRNA
FBtr0078921	FBgn0263594	lost-RA	lost	protein_coding
FBtr0290249	FBgn0052944	CG32944-RE	CG32944	protein_coding
FBtr0339973	FBgn0052944	CG32944-RG	CG32944	protein_coding
FBtr0290250	FBgn0052944	CG32944-RF	CG32944	protein_coding
FBtr0078923	FBgn0051528	CG31528-RA	CG31528	protein_coding
FBtr0078946	FBgn0037248	srl-RB	srl	protein_coding
FBtr0301244	FBgn0037248	srl-RD	srl	protein_coding
FBtr0336458	FBgn0037248	srl-RE	srl	protein_coding
FBtr0078924	FBgn0051525	CG31525-RA	CG31525	protein_coding
FBtr0346646	FBgn0037249	eIF3a-RD	eIF3a	protein_coding
FBtr0078944	FBgn0037249	eIF3a-RA	eIF3a	protein_coding
FBtr0078925	FBgn0037250	CG1074-RA	CG1074	protein_coding
FBtr0347383	FBgn0267813	FBtr0347383	CR46138	ncRNA
FBtr0346735	FBgn0037251	CG9804-RB	CG9804	protein_coding
FBtr0078943	FBgn0037251	CG9804-RA	CG9804	protein_coding
FBtr0335428	FBgn0264983	FBtr0335428	CR44134	ncRNA
FBtr0078926	FBgn0037252	CG14650-RA	CG14650	protein_coding
FBtr0335432	FBgn0051522	CG31522-RI	CG31522	protein_coding
FBtr0078941	FBgn0051522	CG31522-RD	CG31522	protein_coding
FBtr0306343	FBgn0051522	CG31522-RF	CG31522	protein_coding
FBtr0078939	FBgn0051522	CG31522-RB	CG31522	protein_coding
FBtr0306344	FBgn0051522	CG31522-RG	CG31522	protein_coding
FBtr0078942	FBgn0051522	CG31522-RA	CG31522	protein_coding
FBtr0335431	FBgn0051522	CG31522-RH	CG31522	protein_coding
FBtr0345149	FBgn0263620	FBtr0345149	CR43629	ncRNA
FBtr0345148	FBgn0263620	FBtr0345148	CR43629	ncRNA
FBtr0309986	FBgn0263620	FBtr0309986	CR43629	ncRNA
FBtr0345142	FBgn0051523	CG31523-RG	CG31523	protein_coding
FBtr0335429	FBgn0051523	CG31523-RE	CG31523	protein_coding
FBtr0078936	FBgn0051523	CG31523-RB	CG31523	protein_coding
FBtr0335430	FBgn0051523	CG31523-RF	CG31523	protein_coding
FBtr0078937	FBgn0051523	CG31523-RA	CG31523	protein_coding
FBtr0078935	FBgn0051523	CG31523-RC	CG31523	protein_coding
FBtr0078938	FBgn0051523	CG31523-RD	CG31523	protein_coding
FBtr0299947	FBgn0037254	CG14651-RB	CG14651	protein_coding
FBtr0078928	FBgn0037255	Fip1-RA	Fip1	protein_coding
FBtr0335239	FBgn0085386	CG34357-RD	CG34357	protein_coding
FBtr0303867	FBgn0085386	CG34357-RC	CG34357	protein_coding
FBtr0112568	FBgn0085386	CG34357-RB	CG34357	protein_coding
FBtr0112726	FBgn0085454	CG34425-RA	CG34425	protein_coding
FBtr0445669	FBgn0051526	FBtr0445669	CR31526	ncRNA
FBtr0303866	FBgn0037260	Mur82C-RB	Mur82C	protein_coding
FBtr0078896	FBgn0052945	CG32945-RA	CG32945	protein_coding
FBtr0346214	FBgn0267118	FBtr0346214	CR45558	ncRNA
FBtr0339604	FBgn0265376	FBtr0339604	CR44317	ncRNA
FBtr0339605	FBgn0265376	FBtr0339605	CR44317	ncRNA
FBtr0339397	FBgn0087012	5-HT2A-RH	5-HT2A	protein_coding
FBtr0300474	FBgn0087012	5-HT2A-RD	5-HT2A	protein_coding
FBtr0078854	FBgn0087012	5-HT2A-RA	5-HT2A	protein_coding
FBtr0078855	FBgn0087012	5-HT2A-RB	5-HT2A	protein_coding
FBtr0339395	FBgn0087012	5-HT2A-RF	5-HT2A	protein_coding
FBtr0346413	FBgn0267233	FBtr0346413	CR45673	ncRNA
FBtr0078895	FBgn0037261	CG9775-RC	CG9775	protein_coding
FBtr0078894	FBgn0037261	CG9775-RA	CG9775	protein_coding
FBtr0301297	FBgn0037261	CG9775-RD	CG9775	protein_coding
FBtr0336457	FBgn0037261	CG9775-RE	CG9775	protein_coding
FBtr0301296	FBgn0037263	slx1-RB	slx1	protein_coding
FBtr0336456	FBgn0037262	MED31-RD	MED31	protein_coding
FBtr0078857	FBgn0037262	MED31-RB	MED31	protein_coding
FBtr0305312	FBgn0037262	MED31-RC	MED31	protein_coding
FBtr0345249	FBgn0037262	MED31-RE	MED31	protein_coding
FBtr0078856	FBgn0037262	MED31-RA	MED31	protein_coding
FBtr0078893	FBgn0040466	Dlip2-RA	Dlip2	protein_coding
FBtr0078859	FBgn0022981	rpk-RA	rpk	protein_coding
FBtr0305313	FBgn0022981	rpk-RB	rpk	protein_coding
FBtr0336465	FBgn0265038	FBtr0336465	CR44155	ncRNA
FBtr0078860	FBgn0087013	Karybeta3-RA	Karybeta3	protein_coding
FBtr0336462	FBgn0087013	Karybeta3-RB	Karybeta3	protein_coding
FBtr0078861	FBgn0037265	spartin-RA	spartin	protein_coding
FBtr0308820	FBgn0037265	spartin-RB	spartin	protein_coding
FBtr0308856	FBgn0263346	CG43427-RN	CG43427	protein_coding
FBtr0308852	FBgn0263346	CG43427-RH	CG43427	protein_coding
FBtr0308850	FBgn0263346	CG43427-RF	CG43427	protein_coding
FBtr0308858	FBgn0263346	CG43427-RP	CG43427	protein_coding
FBtr0308855	FBgn0263346	CG43427-RM	CG43427	protein_coding
FBtr0308857	FBgn0263346	CG43427-RO	CG43427	protein_coding
FBtr0308851	FBgn0263346	CG43427-RG	CG43427	protein_coding
FBtr0308849	FBgn0263346	CG43427-RE	CG43427	protein_coding
FBtr0308853	FBgn0263346	CG43427-RI	CG43427	protein_coding
FBtr0308854	FBgn0263346	CG43427-RJ	CG43427	protein_coding
FBtr0336464	FBgn0265039	FBtr0336464	CR44156	ncRNA
FBtr0336463	FBgn0265040	FBtr0336463	CR44157	ncRNA
FBtr0091931	FBgn0053927	CG33927-RA	CG33927	protein_coding
FBtr0078892	FBgn0037270	eIF3f1-RA	eIF3f1	protein_coding
FBtr0343891	FBgn0266228	FBtr0343891	CR44923	ncRNA
FBtr0333922	FBgn0027570	Nep2-RC	Nep2	protein_coding
FBtr0305133	FBgn0027570	Nep2-RB	Nep2	protein_coding
FBtr0078891	FBgn0027570	Nep2-RA	Nep2	protein_coding
FBtr0302613	FBgn0026620	tacc-RH	tacc	protein_coding
FBtr0302616	FBgn0026620	tacc-RK	tacc	protein_coding
FBtr0306654	FBgn0026620	tacc-RL	tacc	protein_coding
FBtr0332446	FBgn0026620	tacc-RN	tacc	protein_coding
FBtr0302615	FBgn0026620	tacc-RJ	tacc	protein_coding
FBtr0089949	FBgn0026620	tacc-RE	tacc	protein_coding
FBtr0089951	FBgn0026620	tacc-RF	tacc	protein_coding
FBtr0089953	FBgn0026620	tacc-RC	tacc	protein_coding
FBtr0302614	FBgn0026620	tacc-RI	tacc	protein_coding
FBtr0332445	FBgn0026620	tacc-RM	tacc	protein_coding
FBtr0089950	FBgn0026620	tacc-RG	tacc	protein_coding
FBtr0089952	FBgn0026620	tacc-RD	tacc	protein_coding
FBtr0089955	FBgn0026620	tacc-RA	tacc	protein_coding
FBtr0347382	FBgn0267812	FBtr0347382	CR46137	ncRNA
FBtr0445444	FBgn0283546	FBtr0445444	mir-9384	pre_miRNA
FBtr0334899	FBgn0010750	atms-RB	atms	protein_coding
FBtr0078868	FBgn0010750	atms-RA	atms	protein_coding
FBtr0334965	FBgn0264907	CG44098-RC	CG44098	protein_coding
FBtr0334964	FBgn0264907	CG44098-RB	CG44098	protein_coding
FBtr0345143	FBgn0264907	CG44098-RE	CG44098	protein_coding
FBtr0334966	FBgn0264907	CG44098-RD	CG44098	protein_coding
FBtr0334905	FBgn0264897	CG44088-RA	CG44088	protein_coding
FBtr0078881	FBgn0037275	CG14655-RA	CG14655	protein_coding
FBtr0078880	FBgn0037276	CG17387-RA	CG17387	protein_coding
FBtr0334902	FBgn0260794	ctrip-RI	ctrip	protein_coding
FBtr0334903	FBgn0260794	ctrip-RJ	ctrip	protein_coding
FBtr0344029	FBgn0260794	ctrip-RL	ctrip	protein_coding
FBtr0301437	FBgn0260794	ctrip-RA	ctrip	protein_coding
FBtr0344028	FBgn0260794	ctrip-RK	ctrip	protein_coding
FBtr0303912	FBgn0260794	ctrip-RC	ctrip	protein_coding
FBtr0303914	FBgn0260794	ctrip-RE	ctrip	protein_coding
FBtr0344030	FBgn0260794	ctrip-RM	ctrip	protein_coding
FBtr0303911	FBgn0260794	ctrip-RB	ctrip	protein_coding
FBtr0303915	FBgn0260794	ctrip-RF	ctrip	protein_coding
FBtr0303917	FBgn0260794	ctrip-RH	ctrip	protein_coding
FBtr0078876	FBgn0026417	Hus1-like-RA	Hus1-like	protein_coding
FBtr0334904	FBgn0026417	Hus1-like-RB	Hus1-like	protein_coding
FBtr0345175	FBgn0037279	CG1129-RE	CG1129	protein_coding
FBtr0078870	FBgn0037279	CG1129-RB	CG1129	protein_coding
FBtr0078871	FBgn0037279	CG1129-RA	CG1129	protein_coding
FBtr0345174	FBgn0037279	CG1129-RD	CG1129	protein_coding
FBtr0078872	FBgn0037280	CG1126-RA	CG1126	protein_coding
FBtr0334900	FBgn0037282	CG14657-RC	CG14657	protein_coding
FBtr0334901	FBgn0037282	CG14657-RD	CG14657	protein_coding
FBtr0078875	FBgn0037282	CG14657-RB	CG14657	protein_coding
FBtr0078874	FBgn0037283	CG14658-RA	CG14658	protein_coding
FBtr0078873	FBgn0037284	CG14659-RA	CG14659	protein_coding
FBtr0078836	FBgn0003002	opa-RA	opa	protein_coding
FBtr0345252	FBgn0020280	laf-RB	laf	protein_coding
FBtr0078852	FBgn0020280	laf-RA	laf	protein_coding
FBtr0346254	FBgn0267140	FBtr0346254	CR45580	ncRNA
FBtr0078837	FBgn0004913	Gnf1-RA	Gnf1	protein_coding
FBtr0100159	FBgn0004913	Gnf1-RB	Gnf1	protein_coding
FBtr0336810	FBgn0265082	Cdep-RC	Cdep	protein_coding
FBtr0336812	FBgn0265082	Cdep-RG	Cdep	protein_coding
FBtr0336811	FBgn0265082	Cdep-RF	Cdep	protein_coding
FBtr0336809	FBgn0265082	Cdep-RE	Cdep	protein_coding
FBtr0345154	FBgn0266698	FBtr0345154	CR45188	ncRNA
FBtr0078851	FBgn0004183	FBtr0078851	snRNA:U1:82Eb	snRNA
FBtr0078849	FBgn0004436	Ubc6-RA	Ubc6	protein_coding
FBtr0306106	FBgn0004436	Ubc6-RC	Ubc6	protein_coding
FBtr0078848	FBgn0037288	CG14661-RA	CG14661	protein_coding
FBtr0305965	FBgn0037288	CG14661-RB	CG14661	protein_coding
FBtr0305963	FBgn0250839	CG2016-RC	CG2016	protein_coding
FBtr0305964	FBgn0250839	CG2016-RD	CG2016	protein_coding
FBtr0078847	FBgn0250839	CG2016-RB	CG2016	protein_coding
FBtr0335404	FBgn0250839	CG2016-RE	CG2016	protein_coding
FBtr0078841	FBgn0037290	CG1124-RA	CG1124	protein_coding
FBtr0078846	FBgn0037291	CG14662-RA	CG14662	protein_coding
FBtr0309311	FBgn0263455	FBtr0309311	CR43478	ncRNA
FBtr0308777	FBgn0263343	FBtr0308777	CR43424	ncRNA
FBtr0301312	FBgn0037292	plh-RB	plh	protein_coding
FBtr0346249	FBgn0267145	FBtr0346249	CR45585	ncRNA
FBtr0309991	FBgn0263626	FBtr0309991	CR43635	ncRNA
FBtr0346246	FBgn0267148	FBtr0346246	CR45588	ncRNA
FBtr0308119	FBgn0010313	corto-RC	corto	protein_coding
FBtr0308118	FBgn0010313	corto-RB	corto	protein_coding
FBtr0345141	FBgn0010313	corto-RE	corto	protein_coding
FBtr0308120	FBgn0010313	corto-RD	corto	protein_coding
FBtr0078844	FBgn0010313	corto-RA	corto	protein_coding
FBtr0305279	FBgn0262605	CG43131-RA	CG43131	protein_coding
FBtr0078842	FBgn0037293	CG12007-RA	CG12007	protein_coding
FBtr0078843	FBgn0040684	CG12589-RA	CG12589	protein_coding
FBtr0339317	FBgn0040684	CG12589-RC	CG12589	protein_coding
FBtr0339316	FBgn0040684	CG12589-RB	CG12589	protein_coding
FBtr0339315	FBgn0037295	dpr16-RC	dpr16	protein_coding
FBtr0110950	FBgn0037295	dpr16-RB	dpr16	protein_coding
FBtr0078773	FBgn0037294	CG12590-RA	CG12590	protein_coding
FBtr0347363	FBgn0259212	cno-RJ	cno	protein_coding
FBtr0299709	FBgn0259212	cno-RC	cno	protein_coding
FBtr0334912	FBgn0259212	cno-RH	cno	protein_coding
FBtr0334911	FBgn0259212	cno-RG	cno	protein_coding
FBtr0334913	FBgn0259212	cno-RI	cno	protein_coding
FBtr0334910	FBgn0259212	cno-RF	cno	protein_coding
FBtr0300525	FBgn0259212	cno-RE	cno	protein_coding
FBtr0299710	FBgn0259212	cno-RD	cno	protein_coding
FBtr0306791	FBgn0263018	FBtr0306791	snRNA:U4atac	snRNA
FBtr0078831	FBgn0037296	Prosbeta2R2-RA	Prosbeta2R2	protein_coding
FBtr0078775	FBgn0037297	CG1116-RA	CG1116	protein_coding
FBtr0078774	FBgn0037297	CG1116-RB	CG1116	protein_coding
FBtr0334907	FBgn0037297	CG1116-RD	CG1116	protein_coding
FBtr0078830	FBgn0037298	CG2604-RB	CG2604	protein_coding
FBtr0078829	FBgn0037298	CG2604-RC	CG2604	protein_coding
FBtr0078828	FBgn0037298	CG2604-RA	CG2604	protein_coding
FBtr0305000	FBgn0040682	CG14664-RA	CG14664	protein_coding
FBtr0346146	FBgn0040682	CG14664-RC	CG14664	protein_coding
FBtr0334908	FBgn0040682	CG14664-RB	CG14664	protein_coding
FBtr0078777	FBgn0037299	Vps37B-RA	Vps37B	protein_coding
FBtr0305001	FBgn0037299	Vps37B-RB	Vps37B	protein_coding
FBtr0305002	FBgn0037299	Vps37B-RC	Vps37B	protein_coding
FBtr0078827	FBgn0040208	Kat60-RA	Kat60	protein_coding
FBtr0334909	FBgn0040208	Kat60-RB	Kat60	protein_coding
FBtr0078778	FBgn0037301	Mms19-RB	Mms19	protein_coding
FBtr0078825	FBgn0087005	rtp-RA	rtp	protein_coding
FBtr0078822	FBgn0260462	CG12163-RB	CG12163	protein_coding
FBtr0078823	FBgn0260462	CG12163-RA	CG12163	protein_coding
FBtr0303994	FBgn0260462	CG12163-RC	CG12163	protein_coding
FBtr0078824	FBgn0053293	CG33293-RA	CG33293	protein_coding
FBtr0472592	FBgn0264789	FBtr0472592	CR44019	ncRNA
FBtr0472591	FBgn0264789	FBtr0472591	CR44019	ncRNA
FBtr0332428	FBgn0037304	CG1113-RB	CG1113	protein_coding
FBtr0078779	FBgn0037304	CG1113-RA	CG1113	protein_coding
FBtr0078821	FBgn0037305	CG12173-RA	CG12173	protein_coding
FBtr0344333	FBgn0264785	Hph-RD	Hph	protein_coding
FBtr0334276	FBgn0264785	Hph-RC	Hph	protein_coding
FBtr0334275	FBgn0264785	Hph-RA	Hph	protein_coding
FBtr0334274	FBgn0264785	Hph-RB	Hph	protein_coding
FBtr0078820	FBgn0037307	Tim17a2-RA	Tim17a2	protein_coding
FBtr0346781	FBgn0267443	FBtr0346781	CR45793	ncRNA
FBtr0344334	FBgn0266393	FBtr0344334	CR45033	pseudogene
FBtr0078817	FBgn0013576	mtd-RA	mtd	protein_coding
FBtr0078810	FBgn0013576	mtd-RB	mtd	protein_coding
FBtr0078814	FBgn0013576	mtd-RI	mtd	protein_coding
FBtr0273430	FBgn0013576	mtd-RQ	mtd	protein_coding
FBtr0078812	FBgn0013576	mtd-RK	mtd	protein_coding
FBtr0273432	FBgn0013576	mtd-RS	mtd	protein_coding
FBtr0078816	FBgn0013576	mtd-RH	mtd	protein_coding
FBtr0110933	FBgn0013576	mtd-RP	mtd	protein_coding
FBtr0273431	FBgn0013576	mtd-RR	mtd	protein_coding
FBtr0306695	FBgn0013576	mtd-RW	mtd	protein_coding
FBtr0100197	FBgn0013576	mtd-RM	mtd	protein_coding
FBtr0333695	FBgn0013576	mtd-RAA	mtd	protein_coding
FBtr0110932	FBgn0013576	mtd-RO	mtd	protein_coding
FBtr0308581	FBgn0013576	mtd-RY	mtd	protein_coding
FBtr0078813	FBgn0013576	mtd-RF	mtd	protein_coding
FBtr0078815	FBgn0013576	mtd-RC	mtd	protein_coding
FBtr0273433	FBgn0013576	mtd-RT	mtd	protein_coding
FBtr0078818	FBgn0013576	mtd-RG	mtd	protein_coding
FBtr0078811	FBgn0013576	mtd-RJ	mtd	protein_coding
FBtr0306694	FBgn0013576	mtd-RV	mtd	protein_coding
FBtr0308580	FBgn0013576	mtd-RX	mtd	protein_coding
FBtr0100199	FBgn0013576	mtd-RN	mtd	protein_coding
FBtr0273434	FBgn0013576	mtd-RU	mtd	protein_coding
FBtr0078819	FBgn0051538	CG31538-RA	CG31538	protein_coding
FBtr0078784	FBgn0037310	Tim17b1-RA	Tim17b1	protein_coding
FBtr0078807	FBgn0037312	CG11999-RA	CG11999	protein_coding
FBtr0078785	FBgn0037313	CG1161-RA	CG1161	protein_coding
FBtr0335000	FBgn0037313	CG1161-RC	CG1161	protein_coding
FBtr0078806	FBgn0250746	Prosbeta7-RB	Prosbeta7	protein_coding
